Wimmer,Patrick,Arminia
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,59
NON_PEN_XG,0.18,40
TOTAL_SHOTS,3.40,95
ASSISTS,0.36,92
XA,0.22,72
NON_PEN_XG+XA,0.39,51
SHOT_CREATIONS,3.64,68
PASSES_ATTEMPTED,31.82,24
PASS_COMPLETION_PERCENTAGE,58.8,1
PROGRESSIVE_PASSES,3.40,55
PROGRESSIVE CARRIES,5.10,29
DRIBBLES_COMPLETED,2.55,88
TOUCHES_IN_AREA,3.89,50
PROGRESSIVE_PASSES_RECIEVED,4.01,9
PRESSURES,27.45,99
TACKLES,2.92,98
INTERCEPTIONS,3.28,99
BLOCKS,2.06,95
CLEARANCES,0.61,59
AERIAL_DUELS_WON,1.82,93
