Brunner,Cédric,Arminia
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,19
TOTAL_SHOTS,0.35,23
ASSISTS,0.06,39
XA,0.06,32
NON_PEN_XG+XA,0.07,20
SHOT_CREATIONS,1.12,17
PASSES_ATTEMPTED,45.50,20
PASS_COMPLETION_PERCENTAGE,67.3,3
PROGRESSIVE_PASSES,3.14,33
PROGRESSIVE CARRIES,2.32,5
DRIBBLES_COMPLETED,0.88,56
TOUCHES_IN_AREA,0.44,5
PROGRESSIVE_PASSES_RECIEVED,0.41,1
PRESSURES,12.63,50
TACKLES,2.00,47
INTERCEPTIONS,1.85,70
BLOCKS,1.85,50
CLEARANCES,3.88,97
AERIAL_DUELS_WON,1.97,88
