Prietl,Manuel,Arminia
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,21
TOTAL_SHOTS,0.73,35
ASSISTS,0.06,48
XA,0.06,47
NON_PEN_XG+XA,0.10,29
SHOT_CREATIONS,1.37,27
PASSES_ATTEMPTED,29.73,3
PASS_COMPLETION_PERCENTAGE,77.6,14
PROGRESSIVE_PASSES,2.24,8
PROGRESSIVE CARRIES,2.34,17
DRIBBLES_COMPLETED,0.79,51
TOUCHES_IN_AREA,0.85,36
PROGRESSIVE_PASSES_RECIEVED,0.33,1
PRESSURES,21.39,80
TACKLES,2.55,68
INTERCEPTIONS,1.85,71
BLOCKS,1.46,43
CLEARANCES,1.64,58
AERIAL_DUELS_WON,1.40,59
