Klos,Fabian,Arminia
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,4
NON_PEN_XG,0.25,22
TOTAL_SHOTS,2.38,46
ASSISTS,0.06,26
XA,0.12,52
NON_PEN_XG+XA,0.38,25
SHOT_CREATIONS,1.89,29
PASSES_ATTEMPTED,28.50,75
PASS_COMPLETION_PERCENTAGE,54.6,1
PROGRESSIVE_PASSES,2.76,88
PROGRESSIVE CARRIES,1.80,20
DRIBBLES_COMPLETED,0.51,18
TOUCHES_IN_AREA,5.23,55
PROGRESSIVE_PASSES_RECIEVED,5.42,13
PRESSURES,17.33,77
TACKLES,0.74,53
INTERCEPTIONS,0.48,65
BLOCKS,0.71,43
CLEARANCES,1.35,94
AERIAL_DUELS_WON,8.28,98
