Lasme,Bryan,Arminia
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,10
NON_PEN_XG,0.07,1
TOTAL_SHOTS,1.29,2
ASSISTS,0.00,5
XA,0.02,1
NON_PEN_XG+XA,0.09,1
SHOT_CREATIONS,1.47,11
PASSES_ATTEMPTED,19.51,21
PASS_COMPLETION_PERCENTAGE,57.5,1
PROGRESSIVE_PASSES,0.92,13
PROGRESSIVE CARRIES,2.58,46
DRIBBLES_COMPLETED,1.29,70
TOUCHES_IN_AREA,6.07,79
PROGRESSIVE_PASSES_RECIEVED,7.73,55
PRESSURES,19.69,88
TACKLES,0.55,36
INTERCEPTIONS,0.00,1
BLOCKS,0.74,50
CLEARANCES,1.29,94
AERIAL_DUELS_WON,3.31,79
