Omlin,Jonas,Montpellier
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.01,57
GOALS_CONCEDED,1.42,45
SAVE_PERCENTAGE,74.5,85
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.26,14
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,19.4,32
TOUCHES,39.14,77
LAUNCH_PERCENTAGE,39.0,37
GOAL_KICKS,9.24,97
AVG_GOAL_KICK_DISTANCE,46.0,51
CROSSES_STOPPED_PERCENTAGE,7.3,50
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.50,28
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.3,44
