Mavididi,Stephy,Montpellier
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,80
NON_PEN_XG,0.23,62
TOTAL_SHOTS,1.80,38
ASSISTS,0.07,12
XA,0.11,16
NON_PEN_XG+XA,0.34,39
SHOT_CREATIONS,2.13,9
PASSES_ATTEMPTED,22.36,1
PASS_COMPLETION_PERCENTAGE,78.4,64
PROGRESSIVE_PASSES,0.82,1
PROGRESSIVE CARRIES,4.62,20
DRIBBLES_COMPLETED,1.87,59
TOUCHES_IN_AREA,4.00,53
PROGRESSIVE_PASSES_RECIEVED,7.11,65
PRESSURES,14.95,40
TACKLES,0.89,16
INTERCEPTIONS,0.92,52
BLOCKS,0.79,12
CLEARANCES,0.30,20
AERIAL_DUELS_WON,0.52,36
