Souquet,Arnaud,Montpellier
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,15
TOTAL_SHOTS,0.52,43
ASSISTS,0.13,73
XA,0.04,16
NON_PEN_XG+XA,0.05,10
SHOT_CREATIONS,1.50,42
PASSES_ATTEMPTED,49.17,33
PASS_COMPLETION_PERCENTAGE,74.0,25
PROGRESSIVE_PASSES,4.04,67
PROGRESSIVE CARRIES,4.57,52
DRIBBLES_COMPLETED,0.59,34
TOUCHES_IN_AREA,0.85,23
PROGRESSIVE_PASSES_RECIEVED,2.54,68
PRESSURES,18.65,95
TACKLES,3.46,95
INTERCEPTIONS,1.89,73
BLOCKS,1.63,31
CLEARANCES,2.74,69
AERIAL_DUELS_WON,1.37,62
