Chotard,Joris,Montpellier
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,28
TOTAL_SHOTS,0.47,15
ASSISTS,0.00,11
XA,0.02,11
NON_PEN_XG+XA,0.06,13
SHOT_CREATIONS,1.26,20
PASSES_ATTEMPTED,35.56,12
PASS_COMPLETION_PERCENTAGE,80.1,27
PROGRESSIVE_PASSES,2.37,10
PROGRESSIVE CARRIES,1.98,9
DRIBBLES_COMPLETED,0.36,12
TOUCHES_IN_AREA,0.71,26
PROGRESSIVE_PASSES_RECIEVED,1.03,22
PRESSURES,12.92,8
TACKLES,1.46,12
INTERCEPTIONS,2.57,96
BLOCKS,0.95,5
CLEARANCES,1.70,65
AERIAL_DUELS_WON,0.79,31
