Ferri,Jordan,Montpellier
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.01,1
TOTAL_SHOTS,0.19,2
ASSISTS,0.13,77
XA,0.08,62
NON_PEN_XG+XA,0.09,23
SHOT_CREATIONS,1.95,57
PASSES_ATTEMPTED,64.99,84
PASS_COMPLETION_PERCENTAGE,86.0,68
PROGRESSIVE_PASSES,5.84,87
PROGRESSIVE CARRIES,4.59,66
DRIBBLES_COMPLETED,0.63,36
TOUCHES_IN_AREA,0.41,8
PROGRESSIVE_PASSES_RECIEVED,1.48,42
PRESSURES,20.20,71
TACKLES,3.02,86
INTERCEPTIONS,0.82,6
BLOCKS,1.29,26
CLEARANCES,0.75,12
AERIAL_DUELS_WON,0.47,8
