Sambia,Junior,Montpellier
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,75
NON_PEN_XG,0.05,67
TOTAL_SHOTS,0.82,73
ASSISTS,0.14,75
XA,0.05,28
NON_PEN_XG+XA,0.11,41
SHOT_CREATIONS,1.92,65
PASSES_ATTEMPTED,45.09,19
PASS_COMPLETION_PERCENTAGE,78.3,58
PROGRESSIVE_PASSES,3.80,58
PROGRESSIVE CARRIES,5.37,67
DRIBBLES_COMPLETED,1.85,93
TOUCHES_IN_AREA,0.96,31
PROGRESSIVE_PASSES_RECIEVED,2.33,61
PRESSURES,11.47,30
TACKLES,1.68,27
INTERCEPTIONS,1.68,58
BLOCKS,2.16,73
CLEARANCES,2.09,37
AERIAL_DUELS_WON,1.37,61
