Sakho,Mamadou,Montpellier
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.00,1
ASSISTS,0.00,28
XA,0.01,30
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.14,2
PASSES_ATTEMPTED,49.03,38
PASS_COMPLETION_PERCENTAGE,90.2,80
PROGRESSIVE_PASSES,2.66,52
PROGRESSIVE CARRIES,1.08,10
DRIBBLES_COMPLETED,0.22,53
TOUCHES_IN_AREA,0.22,4
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,5.82,9
TACKLES,1.51,53
INTERCEPTIONS,1.87,63
BLOCKS,1.73,59
CLEARANCES,4.82,47
AERIAL_DUELS_WON,2.08,28
