Elye Wahi,Sepe,Montpellier
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.54,97
NON_PEN_XG,0.29,82
TOTAL_SHOTS,2.00,52
ASSISTS,0.08,13
XA,0.12,18
NON_PEN_XG+XA,0.41,57
SHOT_CREATIONS,2.39,16
PASSES_ATTEMPTED,16.63,1
PASS_COMPLETION_PERCENTAGE,64.4,5
PROGRESSIVE_PASSES,0.69,1
PROGRESSIVE CARRIES,3.85,8
DRIBBLES_COMPLETED,0.92,15
TOUCHES_IN_AREA,5.31,78
PROGRESSIVE_PASSES_RECIEVED,6.70,56
PRESSURES,15.78,49
TACKLES,1.23,38
INTERCEPTIONS,0.54,16
BLOCKS,0.69,9
CLEARANCES,0.54,54
AERIAL_DUELS_WON,1.46,89
