Savanier,Téji,Montpellier
FW,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,93
NON_PEN_XG,0.13,89
TOTAL_SHOTS,2.64,99
ASSISTS,0.26,98
XA,0.22,98
NON_PEN_XG+XA,0.35,97
SHOT_CREATIONS,4.90,99
PASSES_ATTEMPTED,56.83,68
PASS_COMPLETION_PERCENTAGE,69.3,1
PROGRESSIVE_PASSES,5.91,89
PROGRESSIVE CARRIES,5.01,76
DRIBBLES_COMPLETED,2.93,99
TOUCHES_IN_AREA,2.04,84
PROGRESSIVE_PASSES_RECIEVED,2.93,81
PRESSURES,18.79,54
TACKLES,2.71,76
INTERCEPTIONS,2.08,82
BLOCKS,1.30,27
CLEARANCES,0.82,15
AERIAL_DUELS_WON,0.71,24
