"b'Ristic, Mihailo'",Montpellier
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,26
TOTAL_SHOTS,0.77,70
ASSISTS,0.04,26
XA,0.06,37
NON_PEN_XG+XA,0.09,31
SHOT_CREATIONS,1.78,57
PASSES_ATTEMPTED,50.75,41
PASS_COMPLETION_PERCENTAGE,76.8,44
PROGRESSIVE_PASSES,3.76,56
PROGRESSIVE CARRIES,4.93,59
DRIBBLES_COMPLETED,0.69,44
TOUCHES_IN_AREA,0.69,15
PROGRESSIVE_PASSES_RECIEVED,1.90,42
PRESSURES,12.07,43
TACKLES,2.58,78
INTERCEPTIONS,1.62,53
BLOCKS,2.06,68
CLEARANCES,2.58,60
AERIAL_DUELS_WON,1.09,43
