Germain,Valère,Montpellier
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,34
NON_PEN_XG,0.19,7
TOTAL_SHOTS,1.23,2
ASSISTS,0.12,44
XA,0.07,17
NON_PEN_XG+XA,0.25,2
SHOT_CREATIONS,0.82,1
PASSES_ATTEMPTED,22.76,46
PASS_COMPLETION_PERCENTAGE,75.1,67
PROGRESSIVE_PASSES,1.29,38
PROGRESSIVE CARRIES,1.05,4
DRIBBLES_COMPLETED,0.12,1
TOUCHES_IN_AREA,2.46,1
PROGRESSIVE_PASSES_RECIEVED,4.45,3
PRESSURES,14.16,46
TACKLES,0.94,71
INTERCEPTIONS,0.47,63
BLOCKS,0.76,54
CLEARANCES,1.70,99
AERIAL_DUELS_WON,3.34,79
