Arnold,Maximilian,Wolfsburg
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,49
NON_PEN_XG,0.05,40
TOTAL_SHOTS,1.60,88
ASSISTS,0.17,88
XA,0.18,95
NON_PEN_XG+XA,0.23,85
SHOT_CREATIONS,3.06,91
PASSES_ATTEMPTED,54.65,61
PASS_COMPLETION_PERCENTAGE,79.4,23
PROGRESSIVE_PASSES,4.34,61
PROGRESSIVE CARRIES,3.28,37
DRIBBLES_COMPLETED,0.27,4
TOUCHES_IN_AREA,0.25,3
PROGRESSIVE_PASSES_RECIEVED,0.79,13
PRESSURES,17.89,46
TACKLES,1.60,16
INTERCEPTIONS,1.70,59
BLOCKS,1.36,32
CLEARANCES,1.85,74
AERIAL_DUELS_WON,1.21,52
