Gerhardt,Yannick,Wolfsburg
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,12
NON_PEN_XG,0.15,24
TOTAL_SHOTS,1.17,8
ASSISTS,0.18,50
XA,0.18,55
NON_PEN_XG+XA,0.32,34
SHOT_CREATIONS,1.97,6
PASSES_ATTEMPTED,39.58,55
PASS_COMPLETION_PERCENTAGE,74.5,41
PROGRESSIVE_PASSES,3.14,44
PROGRESSIVE CARRIES,4.27,13
DRIBBLES_COMPLETED,0.69,7
TOUCHES_IN_AREA,2.96,24
PROGRESSIVE_PASSES_RECIEVED,5.26,30
PRESSURES,24.54,97
TACKLES,2.67,97
INTERCEPTIONS,0.91,51
BLOCKS,1.68,86
CLEARANCES,1.10,89
AERIAL_DUELS_WON,1.46,88
