"b'Pongracic, Marin'",Wolfsburg
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.09,2
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.52,48
PASSES_ATTEMPTED,59.31,69
PASS_COMPLETION_PERCENTAGE,86.9,50
PROGRESSIVE_PASSES,2.33,39
PROGRESSIVE CARRIES,2.94,58
DRIBBLES_COMPLETED,0.35,77
TOUCHES_IN_AREA,0.17,3
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,10.55,72
TACKLES,2.16,84
INTERCEPTIONS,2.77,96
BLOCKS,1.90,74
CLEARANCES,5.10,54
AERIAL_DUELS_WON,1.90,19
