Lukebakio,Dodi,Wolfsburg
AM,RM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,4
NON_PEN_XG,0.23,61
TOTAL_SHOTS,1.74,35
ASSISTS,0.16,42
XA,0.16,43
NON_PEN_XG+XA,0.39,50
SHOT_CREATIONS,2.27,11
PASSES_ATTEMPTED,25.82,5
PASS_COMPLETION_PERCENTAGE,74.3,39
PROGRESSIVE_PASSES,1.78,8
PROGRESSIVE CARRIES,4.91,26
DRIBBLES_COMPLETED,2.23,76
TOUCHES_IN_AREA,3.53,39
PROGRESSIVE_PASSES_RECIEVED,5.76,41
PRESSURES,13.42,25
TACKLES,1.26,42
INTERCEPTIONS,0.65,27
BLOCKS,0.81,13
CLEARANCES,0.53,51
AERIAL_DUELS_WON,1.46,88
