Marmoush,Omar,Wolfsburg
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,21
NON_PEN_XG,0.36,54
TOTAL_SHOTS,2.44,53
ASSISTS,0.35,97
XA,0.14,60
NON_PEN_XG+XA,0.50,56
SHOT_CREATIONS,3.60,92
PASSES_ATTEMPTED,24.85,58
PASS_COMPLETION_PERCENTAGE,69.6,31
PROGRESSIVE_PASSES,1.39,44
PROGRESSIVE CARRIES,3.83,74
DRIBBLES_COMPLETED,2.21,95
TOUCHES_IN_AREA,5.23,55
PROGRESSIVE_PASSES_RECIEVED,7.43,47
PRESSURES,21.83,96
TACKLES,1.74,99
INTERCEPTIONS,0.35,43
BLOCKS,1.05,79
CLEARANCES,0.23,13
AERIAL_DUELS_WON,1.86,55
