Otávio,Paulo,Wolfsburg
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.05,64
TOTAL_SHOTS,0.83,74
ASSISTS,0.13,73
XA,0.11,72
NON_PEN_XG+XA,0.15,69
SHOT_CREATIONS,1.53,46
PASSES_ATTEMPTED,50.02,39
PASS_COMPLETION_PERCENTAGE,74.1,25
PROGRESSIVE_PASSES,3.90,62
PROGRESSIVE CARRIES,5.35,67
DRIBBLES_COMPLETED,1.32,81
TOUCHES_IN_AREA,0.83,22
PROGRESSIVE_PASSES_RECIEVED,2.28,59
PRESSURES,18.50,93
TACKLES,3.51,96
INTERCEPTIONS,2.10,84
BLOCKS,3.55,99
CLEARANCES,2.59,61
AERIAL_DUELS_WON,1.40,65
