Bornauw,Sebastiaan,Wolfsburg
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,52
NON_PEN_XG,0.06,73
TOTAL_SHOTS,0.86,91
ASSISTS,0.00,28
XA,0.00,16
NON_PEN_XG+XA,0.06,52
SHOT_CREATIONS,0.13,1
PASSES_ATTEMPTED,48.22,35
PASS_COMPLETION_PERCENTAGE,85.9,43
PROGRESSIVE_PASSES,1.47,9
PROGRESSIVE CARRIES,0.56,1
DRIBBLES_COMPLETED,0.17,39
TOUCHES_IN_AREA,1.42,93
PROGRESSIVE_PASSES_RECIEVED,0.39,88
PRESSURES,8.37,45
TACKLES,1.30,36
INTERCEPTIONS,1.47,29
BLOCKS,1.94,77
CLEARANCES,5.44,65
AERIAL_DUELS_WON,4.19,96
