Schlager,Xaver,Wolfsburg
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,45
NON_PEN_XG,0.07,63
TOTAL_SHOTS,1.53,86
ASSISTS,0.19,90
XA,0.10,72
NON_PEN_XG+XA,0.17,68
SHOT_CREATIONS,1.76,47
PASSES_ATTEMPTED,44.38,32
PASS_COMPLETION_PERCENTAGE,78.4,18
PROGRESSIVE_PASSES,3.89,50
PROGRESSIVE CARRIES,4.95,75
DRIBBLES_COMPLETED,0.97,65
TOUCHES_IN_AREA,1.11,52
PROGRESSIVE_PASSES_RECIEVED,1.94,59
PRESSURES,21.01,77
TACKLES,2.55,67
INTERCEPTIONS,1.85,72
BLOCKS,1.80,70
CLEARANCES,1.62,56
AERIAL_DUELS_WON,1.67,70
