Mbabu,Kevin,Wolfsburg
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,38
TOTAL_SHOTS,0.52,44
ASSISTS,0.00,8
XA,0.09,63
NON_PEN_XG+XA,0.12,52
SHOT_CREATIONS,1.89,62
PASSES_ATTEMPTED,56.69,67
PASS_COMPLETION_PERCENTAGE,70.0,9
PROGRESSIVE_PASSES,6.60,96
PROGRESSIVE CARRIES,5.98,78
DRIBBLES_COMPLETED,2.38,98
TOUCHES_IN_AREA,1.63,64
PROGRESSIVE_PASSES_RECIEVED,1.89,41
PRESSURES,16.59,87
TACKLES,2.97,87
INTERCEPTIONS,1.53,44
BLOCKS,2.71,95
CLEARANCES,3.92,98
AERIAL_DUELS_WON,2.48,96
