Nmecha,Lukas,Wolfsburg
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.57,97
NON_PEN_XG,0.50,98
TOTAL_SHOTS,3.18,94
ASSISTS,0.00,1
XA,0.14,36
NON_PEN_XG+XA,0.65,92
SHOT_CREATIONS,2.33,13
PASSES_ATTEMPTED,23.97,3
PASS_COMPLETION_PERCENTAGE,69.9,19
PROGRESSIVE_PASSES,1.56,3
PROGRESSIVE CARRIES,3.54,5
DRIBBLES_COMPLETED,1.27,31
TOUCHES_IN_AREA,5.51,80
PROGRESSIVE_PASSES_RECIEVED,6.72,56
PRESSURES,19.23,75
TACKLES,1.13,33
INTERCEPTIONS,0.57,17
BLOCKS,0.85,16
CLEARANCES,0.71,71
AERIAL_DUELS_WON,2.19,96
