Baku,Ridle,Wolfsburg
DF,FW,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,38
NON_PEN_XG,0.13,17
TOTAL_SHOTS,1.37,14
ASSISTS,0.21,59
XA,0.13,30
NON_PEN_XG+XA,0.26,17
SHOT_CREATIONS,2.61,22
PASSES_ATTEMPTED,44.54,73
PASS_COMPLETION_PERCENTAGE,74.9,45
PROGRESSIVE_PASSES,3.44,56
PROGRESSIVE CARRIES,5.24,34
DRIBBLES_COMPLETED,1.11,24
TOUCHES_IN_AREA,2.61,16
PROGRESSIVE_PASSES_RECIEVED,6.07,46
PRESSURES,17.33,60
TACKLES,1.76,76
INTERCEPTIONS,1.60,94
BLOCKS,2.12,97
CLEARANCES,0.96,86
AERIAL_DUELS_WON,0.62,47
