Vranckx,Aster,Wolfsburg
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,28
TOTAL_SHOTS,1.08,63
ASSISTS,0.00,11
XA,0.09,67
NON_PEN_XG+XA,0.12,42
SHOT_CREATIONS,1.28,22
PASSES_ATTEMPTED,33.64,7
PASS_COMPLETION_PERCENTAGE,78.4,18
PROGRESSIVE_PASSES,1.48,1
PROGRESSIVE CARRIES,2.75,24
DRIBBLES_COMPLETED,1.67,94
TOUCHES_IN_AREA,0.79,33
PROGRESSIVE_PASSES_RECIEVED,2.26,69
PRESSURES,22.82,87
TACKLES,2.85,81
INTERCEPTIONS,1.57,48
BLOCKS,2.36,95
CLEARANCES,0.98,22
AERIAL_DUELS_WON,1.57,67
