Guilavogui,Josuha,Wolfsburg
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,29
TOTAL_SHOTS,0.60,26
ASSISTS,0.05,40
XA,0.01,1
NON_PEN_XG+XA,0.04,7
SHOT_CREATIONS,1.20,18
PASSES_ATTEMPTED,48.54,44
PASS_COMPLETION_PERCENTAGE,82.9,44
PROGRESSIVE_PASSES,3.14,30
PROGRESSIVE CARRIES,1.30,2
DRIBBLES_COMPLETED,0.40,14
TOUCHES_IN_AREA,0.80,33
PROGRESSIVE_PASSES_RECIEVED,0.45,4
PRESSURES,15.37,22
TACKLES,2.84,81
INTERCEPTIONS,2.94,98
BLOCKS,1.70,64
CLEARANCES,4.04,99
AERIAL_DUELS_WON,3.24,97
