Lacroix,Maxence,Wolfsburg
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,37
NON_PEN_XG,0.06,68
TOTAL_SHOTS,0.59,68
ASSISTS,0.00,28
XA,0.01,41
NON_PEN_XG+XA,0.07,56
SHOT_CREATIONS,0.70,70
PASSES_ATTEMPTED,58.61,68
PASS_COMPLETION_PERCENTAGE,82.6,20
PROGRESSIVE_PASSES,3.13,67
PROGRESSIVE CARRIES,2.46,46
DRIBBLES_COMPLETED,0.72,97
TOUCHES_IN_AREA,0.83,54
PROGRESSIVE_PASSES_RECIEVED,0.19,60
PRESSURES,11.23,79
TACKLES,2.30,88
INTERCEPTIONS,3.69,99
BLOCKS,1.90,73
CLEARANCES,5.11,54
AERIAL_DUELS_WON,3.05,68
