Brekalo,Josip,Wolfsburg
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.46,95
NON_PEN_XG,0.20,50
TOTAL_SHOTS,1.89,44
ASSISTS,0.15,39
XA,0.21,69
NON_PEN_XG+XA,0.41,58
SHOT_CREATIONS,3.79,73
PASSES_ATTEMPTED,44.80,74
PASS_COMPLETION_PERCENTAGE,71.8,25
PROGRESSIVE_PASSES,3.74,64
PROGRESSIVE CARRIES,6.91,69
DRIBBLES_COMPLETED,1.23,29
TOUCHES_IN_AREA,3.12,28
PROGRESSIVE_PASSES_RECIEVED,7.32,71
PRESSURES,15.20,42
TACKLES,0.82,12
INTERCEPTIONS,0.72,30
BLOCKS,1.08,38
CLEARANCES,0.41,34
AERIAL_DUELS_WON,0.77,60
