Williams,Rhys,Swansea City
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.08,87
TOTAL_SHOTS,1.10,99
ASSISTS,0.00,28
XA,0.03,82
NON_PEN_XG+XA,0.11,92
SHOT_CREATIONS,0.63,62
PASSES_ATTEMPTED,58.95,69
PASS_COMPLETION_PERCENTAGE,93.0,96
PROGRESSIVE_PASSES,1.58,11
PROGRESSIVE CARRIES,1.42,19
DRIBBLES_COMPLETED,0.16,33
TOUCHES_IN_AREA,1.42,93
PROGRESSIVE_PASSES_RECIEVED,0.16,51
PRESSURES,8.04,38
TACKLES,0.79,5
INTERCEPTIONS,1.26,13
BLOCKS,0.79,1
CLEARANCES,9.77,99
AERIAL_DUELS_WON,4.10,94
