Armstrong,Adam,Southampton
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,8
NON_PEN_XG,0.31,37
TOTAL_SHOTS,3.31,86
ASSISTS,0.17,68
XA,0.14,60
NON_PEN_XG+XA,0.46,47
SHOT_CREATIONS,2.15,45
PASSES_ATTEMPTED,18.76,19
PASS_COMPLETION_PERCENTAGE,68.7,27
PROGRESSIVE_PASSES,1.65,60
PROGRESSIVE CARRIES,4.46,79
DRIBBLES_COMPLETED,1.16,63
TOUCHES_IN_AREA,5.04,46
PROGRESSIVE_PASSES_RECIEVED,7.02,42
PRESSURES,13.72,39
TACKLES,0.66,46
INTERCEPTIONS,0.33,38
BLOCKS,0.50,17
CLEARANCES,0.25,15
AERIAL_DUELS_WON,0.66,13
