Livramento,Valentino,Southampton
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,67
NON_PEN_XG,0.04,50
TOTAL_SHOTS,0.47,37
ASSISTS,0.00,8
XA,0.08,53
NON_PEN_XG+XA,0.12,50
SHOT_CREATIONS,1.30,27
PASSES_ATTEMPTED,44.68,16
PASS_COMPLETION_PERCENTAGE,75.4,33
PROGRESSIVE_PASSES,2.66,12
PROGRESSIVE CARRIES,5.55,71
DRIBBLES_COMPLETED,1.30,81
TOUCHES_IN_AREA,1.95,75
PROGRESSIVE_PASSES_RECIEVED,2.30,60
PRESSURES,14.10,69
TACKLES,2.24,63
INTERCEPTIONS,3.19,99
BLOCKS,1.89,53
CLEARANCES,2.07,35
AERIAL_DUELS_WON,1.06,41
