Tella,Nathan,Southampton
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,3
NON_PEN_XG,0.17,4
TOTAL_SHOTS,1.81,15
ASSISTS,0.08,28
XA,0.12,50
NON_PEN_XG+XA,0.29,5
SHOT_CREATIONS,2.21,49
PASSES_ATTEMPTED,18.14,17
PASS_COMPLETION_PERCENTAGE,67.8,19
PROGRESSIVE_PASSES,0.79,10
PROGRESSIVE CARRIES,3.94,74
DRIBBLES_COMPLETED,1.74,88
TOUCHES_IN_AREA,3.23,3
PROGRESSIVE_PASSES_RECIEVED,5.05,6
PRESSURES,28.79,99
TACKLES,1.42,94
INTERCEPTIONS,1.18,99
BLOCKS,1.66,97
CLEARANCES,0.55,42
AERIAL_DUELS_WON,0.55,8
