Adams,Che,Southampton
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,38
NON_PEN_XG,0.31,38
TOTAL_SHOTS,1.98,25
ASSISTS,0.07,28
XA,0.12,53
NON_PEN_XG+XA,0.44,40
SHOT_CREATIONS,2.24,51
PASSES_ATTEMPTED,20.08,25
PASS_COMPLETION_PERCENTAGE,68.3,22
PROGRESSIVE_PASSES,1.76,64
PROGRESSIVE CARRIES,2.06,30
DRIBBLES_COMPLETED,0.71,25
TOUCHES_IN_AREA,4.23,18
PROGRESSIVE_PASSES_RECIEVED,5.91,19
PRESSURES,15.70,61
TACKLES,0.93,70
INTERCEPTIONS,0.56,77
BLOCKS,1.27,90
CLEARANCES,0.64,47
AERIAL_DUELS_WON,2.02,59
