Armstrong,Stuart,Southampton
AM,CM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,13
NON_PEN_XG,0.11,10
TOTAL_SHOTS,1.84,42
ASSISTS,0.14,31
XA,0.09,6
NON_PEN_XG+XA,0.20,5
SHOT_CREATIONS,3.13,47
PASSES_ATTEMPTED,41.53,61
PASS_COMPLETION_PERCENTAGE,79.2,69
PROGRESSIVE_PASSES,3.91,69
PROGRESSIVE CARRIES,6.07,51
DRIBBLES_COMPLETED,2.02,66
TOUCHES_IN_AREA,2.07,6
PROGRESSIVE_PASSES_RECIEVED,3.36,5
PRESSURES,15.27,44
TACKLES,1.89,80
INTERCEPTIONS,1.06,66
BLOCKS,0.74,10
CLEARANCES,0.69,69
AERIAL_DUELS_WON,0.37,20
