Stephens,Jack,Southampton
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,36
TOTAL_SHOTS,0.26,12
ASSISTS,0.00,28
XA,0.04,87
NON_PEN_XG+XA,0.07,65
SHOT_CREATIONS,1.16,95
PASSES_ATTEMPTED,54.59,55
PASS_COMPLETION_PERCENTAGE,83.5,26
PROGRESSIVE_PASSES,3.27,72
PROGRESSIVE CARRIES,3.53,74
DRIBBLES_COMPLETED,0.16,33
TOUCHES_IN_AREA,0.53,19
PROGRESSIVE_PASSES_RECIEVED,0.11,32
PRESSURES,10.33,69
TACKLES,2.27,87
INTERCEPTIONS,1.95,67
BLOCKS,2.48,98
CLEARANCES,5.53,67
AERIAL_DUELS_WON,1.74,12
