Lyanco,,Southampton
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,50
TOTAL_SHOTS,0.57,65
ASSISTS,0.00,28
XA,0.01,50
NON_PEN_XG+XA,0.06,45
SHOT_CREATIONS,0.96,88
PASSES_ATTEMPTED,48.51,36
PASS_COMPLETION_PERCENTAGE,82.2,18
PROGRESSIVE_PASSES,2.87,58
PROGRESSIVE CARRIES,2.04,35
DRIBBLES_COMPLETED,0.96,99
TOUCHES_IN_AREA,1.02,74
PROGRESSIVE_PASSES_RECIEVED,0.06,22
PRESSURES,9.06,55
TACKLES,1.28,34
INTERCEPTIONS,2.68,95
BLOCKS,2.04,82
CLEARANCES,5.55,68
AERIAL_DUELS_WON,2.68,55
