Diallo,Ibrahima,Southampton
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.05,42
TOTAL_SHOTS,0.72,35
ASSISTS,0.06,48
XA,0.05,39
NON_PEN_XG+XA,0.11,38
SHOT_CREATIONS,1.74,46
PASSES_ATTEMPTED,46.87,38
PASS_COMPLETION_PERCENTAGE,84.0,53
PROGRESSIVE_PASSES,3.07,27
PROGRESSIVE CARRIES,3.85,50
DRIBBLES_COMPLETED,1.14,76
TOUCHES_IN_AREA,0.78,32
PROGRESSIVE_PASSES_RECIEVED,1.26,33
PRESSURES,21.24,78
TACKLES,2.41,59
INTERCEPTIONS,1.20,23
BLOCKS,0.84,3
CLEARANCES,1.02,25
AERIAL_DUELS_WON,0.90,38
