Perraud,Romain,Southampton
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,54
TOTAL_SHOTS,0.98,83
ASSISTS,0.07,50
XA,0.07,46
NON_PEN_XG+XA,0.11,47
SHOT_CREATIONS,1.77,57
PASSES_ATTEMPTED,55.09,61
PASS_COMPLETION_PERCENTAGE,77.2,47
PROGRESSIVE_PASSES,3.69,54
PROGRESSIVE CARRIES,5.11,63
DRIBBLES_COMPLETED,0.80,51
TOUCHES_IN_AREA,1.30,49
PROGRESSIVE_PASSES_RECIEVED,2.21,57
PRESSURES,13.33,59
TACKLES,2.21,60
INTERCEPTIONS,0.98,5
BLOCKS,1.70,38
CLEARANCES,2.61,61
AERIAL_DUELS_WON,0.58,13
