Kramer,Christoph,M'Gladbach
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,16
TOTAL_SHOTS,0.50,18
ASSISTS,0.11,73
XA,0.07,50
NON_PEN_XG+XA,0.09,27
SHOT_CREATIONS,1.39,28
PASSES_ATTEMPTED,56.44,66
PASS_COMPLETION_PERCENTAGE,85.4,62
PROGRESSIVE_PASSES,4.12,56
PROGRESSIVE CARRIES,4.29,60
DRIBBLES_COMPLETED,1.00,67
TOUCHES_IN_AREA,0.95,42
PROGRESSIVE_PASSES_RECIEVED,1.34,36
PRESSURES,19.81,67
TACKLES,2.84,80
INTERCEPTIONS,1.78,65
BLOCKS,1.34,30
CLEARANCES,2.39,90
AERIAL_DUELS_WON,1.00,42
