Stindl,Lars,M'Gladbach
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,55
NON_PEN_XG,0.21,52
TOTAL_SHOTS,1.94,47
ASSISTS,0.41,96
XA,0.23,78
NON_PEN_XG+XA,0.44,65
SHOT_CREATIONS,3.58,66
PASSES_ATTEMPTED,46.81,80
PASS_COMPLETION_PERCENTAGE,81.1,83
PROGRESSIVE_PASSES,3.91,69
PROGRESSIVE CARRIES,3.17,3
DRIBBLES_COMPLETED,0.26,1
TOUCHES_IN_AREA,2.94,23
PROGRESSIVE_PASSES_RECIEVED,7.01,64
PRESSURES,22.25,95
TACKLES,1.57,66
INTERCEPTIONS,0.56,16
BLOCKS,1.16,48
CLEARANCES,0.78,78
AERIAL_DUELS_WON,0.97,73
