Sommer,Yann,M'Gladbach
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.15,25
GOALS_CONCEDED,1.78,14
SAVE_PERCENTAGE,63.6,19
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.33,85
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,18.4,26
TOUCHES,43.30,88
LAUNCH_PERCENTAGE,32.0,22
GOAL_KICKS,6.62,24
AVG_GOAL_KICK_DISTANCE,33.9,14
CROSSES_STOPPED_PERCENTAGE,5.1,11
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.94,80
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.5,52
