Embolo,Breel,M'Gladbach
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,18
NON_PEN_XG,0.38,59
TOTAL_SHOTS,2.22,36
ASSISTS,0.22,80
XA,0.17,73
NON_PEN_XG+XA,0.55,66
SHOT_CREATIONS,2.94,75
PASSES_ATTEMPTED,25.80,63
PASS_COMPLETION_PERCENTAGE,73.3,54
PROGRESSIVE_PASSES,1.78,66
PROGRESSIVE CARRIES,3.44,64
DRIBBLES_COMPLETED,1.66,88
TOUCHES_IN_AREA,5.05,47
PROGRESSIVE_PASSES_RECIEVED,8.71,75
PRESSURES,17.92,79
TACKLES,1.50,96
INTERCEPTIONS,0.67,84
BLOCKS,0.55,22
CLEARANCES,0.22,13
AERIAL_DUELS_WON,1.94,58
