Ginter,Matthias,M'Gladbach
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,36
NON_PEN_XG,0.07,81
TOTAL_SHOTS,0.96,96
ASSISTS,0.00,28
XA,0.04,93
NON_PEN_XG+XA,0.11,92
SHOT_CREATIONS,1.22,96
PASSES_ATTEMPTED,66.92,84
PASS_COMPLETION_PERCENTAGE,85.2,38
PROGRESSIVE_PASSES,5.17,97
PROGRESSIVE CARRIES,5.28,93
DRIBBLES_COMPLETED,0.27,65
TOUCHES_IN_AREA,1.22,85
PROGRESSIVE_PASSES_RECIEVED,0.45,90
PRESSURES,5.73,8
TACKLES,1.17,24
INTERCEPTIONS,1.78,55
BLOCKS,1.49,32
CLEARANCES,4.59,38
AERIAL_DUELS_WON,2.68,55
