Koné,Kouadio,M'Gladbach
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,22
TOTAL_SHOTS,0.93,50
ASSISTS,0.00,11
XA,0.06,45
NON_PEN_XG+XA,0.09,26
SHOT_CREATIONS,2.90,87
PASSES_ATTEMPTED,48.31,43
PASS_COMPLETION_PERCENTAGE,89.7,92
PROGRESSIVE_PASSES,4.34,61
PROGRESSIVE CARRIES,5.17,79
DRIBBLES_COMPLETED,2.28,99
TOUCHES_IN_AREA,1.14,53
PROGRESSIVE_PASSES_RECIEVED,1.66,49
PRESSURES,22.03,84
TACKLES,2.69,75
INTERCEPTIONS,3.21,99
BLOCKS,1.66,58
CLEARANCES,1.03,25
AERIAL_DUELS_WON,1.14,48
