Beyer,Louis,M'Gladbach
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,58
TOTAL_SHOTS,0.74,81
ASSISTS,0.00,28
XA,0.01,49
NON_PEN_XG+XA,0.06,50
SHOT_CREATIONS,0.87,84
PASSES_ATTEMPTED,65.52,81
PASS_COMPLETION_PERCENTAGE,89.6,77
PROGRESSIVE_PASSES,3.83,83
PROGRESSIVE CARRIES,4.33,84
DRIBBLES_COMPLETED,0.49,88
TOUCHES_IN_AREA,1.24,86
PROGRESSIVE_PASSES_RECIEVED,0.87,96
PRESSURES,12.36,88
TACKLES,2.60,96
INTERCEPTIONS,1.98,69
BLOCKS,2.10,84
CLEARANCES,4.33,30
AERIAL_DUELS_WON,3.46,82
