Wolf,Hannes,M'Gladbach
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,12
NON_PEN_XG,0.12,14
TOTAL_SHOTS,1.25,9
ASSISTS,0.16,39
XA,0.13,23
NON_PEN_XG+XA,0.23,10
SHOT_CREATIONS,2.11,9
PASSES_ATTEMPTED,36.83,42
PASS_COMPLETION_PERCENTAGE,76.9,55
PROGRESSIVE_PASSES,2.42,24
PROGRESSIVE CARRIES,5.40,36
DRIBBLES_COMPLETED,1.72,54
TOUCHES_IN_AREA,2.89,22
PROGRESSIVE_PASSES_RECIEVED,6.72,56
PRESSURES,25.96,98
TACKLES,2.66,97
INTERCEPTIONS,1.17,79
BLOCKS,2.19,98
CLEARANCES,0.39,32
AERIAL_DUELS_WON,0.78,63
