Pléa,Alassane,M'Gladbach
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,33
NON_PEN_XG,0.25,21
TOTAL_SHOTS,2.94,77
ASSISTS,0.04,16
XA,0.23,91
NON_PEN_XG+XA,0.48,50
SHOT_CREATIONS,3.71,94
PASSES_ATTEMPTED,31.72,84
PASS_COMPLETION_PERCENTAGE,74.7,64
PROGRESSIVE_PASSES,3.26,91
PROGRESSIVE CARRIES,4.80,84
DRIBBLES_COMPLETED,1.21,67
TOUCHES_IN_AREA,4.47,25
PROGRESSIVE_PASSES_RECIEVED,9.79,91
PRESSURES,15.03,54
TACKLES,0.81,61
INTERCEPTIONS,0.44,59
BLOCKS,0.44,13
CLEARANCES,0.48,35
AERIAL_DUELS_WON,1.25,31
