Thuram,Marcus,M'Gladbach
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.34,46
NON_PEN_XG,0.41,70
TOTAL_SHOTS,3.04,80
ASSISTS,0.11,42
XA,0.15,65
NON_PEN_XG+XA,0.57,71
SHOT_CREATIONS,2.35,58
PASSES_ATTEMPTED,27.34,69
PASS_COMPLETION_PERCENTAGE,74.2,60
PROGRESSIVE_PASSES,2.07,72
PROGRESSIVE CARRIES,4.94,85
DRIBBLES_COMPLETED,2.24,96
TOUCHES_IN_AREA,6.32,82
PROGRESSIVE_PASSES_RECIEVED,8.56,71
PRESSURES,17.40,78
TACKLES,1.38,94
INTERCEPTIONS,1.03,99
BLOCKS,1.32,93
CLEARANCES,0.69,55
AERIAL_DUELS_WON,3.45,79
