Neuhaus,Florian,M'Gladbach
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,96
NON_PEN_XG,0.14,90
TOTAL_SHOTS,1.75,93
ASSISTS,0.10,69
XA,0.08,61
NON_PEN_XG+XA,0.22,83
SHOT_CREATIONS,2.13,64
PASSES_ATTEMPTED,54.43,61
PASS_COMPLETION_PERCENTAGE,82.5,42
PROGRESSIVE_PASSES,5.87,88
PROGRESSIVE CARRIES,5.33,80
DRIBBLES_COMPLETED,1.38,88
TOUCHES_IN_AREA,1.69,77
PROGRESSIVE_PASSES_RECIEVED,2.19,67
PRESSURES,12.55,5
TACKLES,1.72,24
INTERCEPTIONS,1.92,76
BLOCKS,1.75,68
CLEARANCES,0.94,21
AERIAL_DUELS_WON,0.61,17
