Iglesias,Borja,Betis
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.41,63
NON_PEN_XG,0.36,54
TOTAL_SHOTS,2.82,73
ASSISTS,0.05,18
XA,0.15,66
NON_PEN_XG+XA,0.51,59
SHOT_CREATIONS,1.91,30
PASSES_ATTEMPTED,19.04,20
PASS_COMPLETION_PERCENTAGE,77.5,82
PROGRESSIVE_PASSES,0.91,13
PROGRESSIVE CARRIES,1.96,29
DRIBBLES_COMPLETED,0.68,23
TOUCHES_IN_AREA,5.92,73
PROGRESSIVE_PASSES_RECIEVED,5.51,14
PRESSURES,14.30,48
TACKLES,0.18,2
INTERCEPTIONS,0.23,18
BLOCKS,0.73,48
CLEARANCES,0.73,59
AERIAL_DUELS_WON,1.64,47
