Bravo,Claudio,Betis
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.23,96
GOALS_CONCEDED,1.10,80
SAVE_PERCENTAGE,72.2,71
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,30.4,64
TOUCHES,34.27,41
LAUNCH_PERCENTAGE,52.8,77
GOAL_KICKS,6.71,26
AVG_GOAL_KICK_DISTANCE,52.1,78
CROSSES_STOPPED_PERCENTAGE,4.9,7
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.48,27
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.1,15
