Canales,Sergio,Betis
AM,CM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,43
NON_PEN_XG,0.14,19
TOTAL_SHOTS,1.89,45
ASSISTS,0.20,53
XA,0.17,49
NON_PEN_XG+XA,0.31,27
SHOT_CREATIONS,3.51,63
PASSES_ATTEMPTED,61.50,99
PASS_COMPLETION_PERCENTAGE,85.2,98
PROGRESSIVE_PASSES,5.24,90
PROGRESSIVE CARRIES,8.28,85
DRIBBLES_COMPLETED,1.28,32
TOUCHES_IN_AREA,3.04,26
PROGRESSIVE_PASSES_RECIEVED,4.35,13
PRESSURES,10.59,8
TACKLES,0.81,11
INTERCEPTIONS,0.64,26
BLOCKS,0.84,15
CLEARANCES,0.59,58
AERIAL_DUELS_WON,0.50,33
