Carvalho,William,Betis
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.10,81
TOTAL_SHOTS,1.38,80
ASSISTS,0.07,53
XA,0.06,45
NON_PEN_XG+XA,0.17,66
SHOT_CREATIONS,1.93,56
PASSES_ATTEMPTED,64.87,84
PASS_COMPLETION_PERCENTAGE,87.2,78
PROGRESSIVE_PASSES,5.78,86
PROGRESSIVE CARRIES,5.58,83
DRIBBLES_COMPLETED,1.79,95
TOUCHES_IN_AREA,1.51,71
PROGRESSIVE_PASSES_RECIEVED,1.58,47
PRESSURES,15.63,25
TACKLES,2.41,59
INTERCEPTIONS,0.76,4
BLOCKS,1.58,54
CLEARANCES,2.13,86
AERIAL_DUELS_WON,2.41,90
