Rodríguez,Guido,Betis
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,31
NON_PEN_XG,0.05,40
TOTAL_SHOTS,0.87,44
ASSISTS,0.06,46
XA,0.02,10
NON_PEN_XG+XA,0.08,20
SHOT_CREATIONS,1.39,29
PASSES_ATTEMPTED,53.19,58
PASS_COMPLETION_PERCENTAGE,85.9,67
PROGRESSIVE_PASSES,3.16,31
PROGRESSIVE CARRIES,2.58,20
DRIBBLES_COMPLETED,0.78,50
TOUCHES_IN_AREA,0.81,33
PROGRESSIVE_PASSES_RECIEVED,0.29,1
PRESSURES,22.41,85
TACKLES,3.19,90
INTERCEPTIONS,2.26,90
BLOCKS,2.53,98
CLEARANCES,2.61,95
AERIAL_DUELS_WON,1.71,73
