Tello,Cristian,Betis
AM,LM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,55
NON_PEN_XG,0.23,63
TOTAL_SHOTS,2.65,79
ASSISTS,0.23,66
XA,0.22,72
NON_PEN_XG+XA,0.45,67
SHOT_CREATIONS,4.01,79
PASSES_ATTEMPTED,36.91,42
PASS_COMPLETION_PERCENTAGE,77.0,55
PROGRESSIVE_PASSES,3.10,42
PROGRESSIVE CARRIES,5.67,43
DRIBBLES_COMPLETED,1.59,50
TOUCHES_IN_AREA,4.76,68
PROGRESSIVE_PASSES_RECIEVED,5.60,36
PRESSURES,15.66,48
TACKLES,1.36,55
INTERCEPTIONS,0.68,30
BLOCKS,1.29,58
CLEARANCES,0.23,13
AERIAL_DUELS_WON,0.98,74
