González,Édgar,Betis
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.06,66
TOTAL_SHOTS,0.34,24
ASSISTS,0.07,91
XA,0.00,4
NON_PEN_XG+XA,0.06,39
SHOT_CREATIONS,0.41,31
PASSES_ATTEMPTED,54.63,55
PASS_COMPLETION_PERCENTAGE,92.7,94
PROGRESSIVE_PASSES,1.45,9
PROGRESSIVE CARRIES,1.79,29
DRIBBLES_COMPLETED,0.41,82
TOUCHES_IN_AREA,0.55,21
PROGRESSIVE_PASSES_RECIEVED,0.07,25
PRESSURES,7.57,33
TACKLES,1.38,43
INTERCEPTIONS,1.93,66
BLOCKS,1.17,6
CLEARANCES,5.30,61
AERIAL_DUELS_WON,2.06,27
