Silva,Rui,Betis
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.01,55
GOALS_CONCEDED,1.49,43
SAVE_PERCENTAGE,66.2,36
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,27.5,57
TOUCHES,35.54,50
LAUNCH_PERCENTAGE,57.6,87
GOAL_KICKS,8.31,82
AVG_GOAL_KICK_DISTANCE,55.5,85
CROSSES_STOPPED_PERCENTAGE,5.7,18
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.02,90
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.6,92
