Ayhan,Kaan,Sassuolo
CB,DM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,33
TOTAL_SHOTS,0.45,44
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.03,16
SHOT_CREATIONS,0.56,55
PASSES_ATTEMPTED,64.13,78
PASS_COMPLETION_PERCENTAGE,88.6,67
PROGRESSIVE_PASSES,4.61,93
PROGRESSIVE CARRIES,6.75,97
DRIBBLES_COMPLETED,0.11,22
TOUCHES_IN_AREA,0.45,13
PROGRESSIVE_PASSES_RECIEVED,0.11,36
PRESSURES,9.00,54
TACKLES,2.03,77
INTERCEPTIONS,1.01,5
BLOCKS,1.24,10
CLEARANCES,5.06,52
AERIAL_DUELS_WON,2.70,56
