Caputo,Francesco,Sassuolo
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,37
NON_PEN_XG,0.34,47
TOTAL_SHOTS,1.86,16
ASSISTS,0.22,82
XA,0.12,46
NON_PEN_XG+XA,0.46,45
SHOT_CREATIONS,2.54,66
PASSES_ATTEMPTED,21.41,36
PASS_COMPLETION_PERCENTAGE,75.6,69
PROGRESSIVE_PASSES,0.97,16
PROGRESSIVE CARRIES,1.86,21
DRIBBLES_COMPLETED,0.41,7
TOUCHES_IN_AREA,5.97,75
PROGRESSIVE_PASSES_RECIEVED,8.43,68
PRESSURES,7.35,2
TACKLES,0.15,1
INTERCEPTIONS,0.26,26
BLOCKS,0.41,8
CLEARANCES,0.30,20
AERIAL_DUELS_WON,0.90,22
