Scamacca,Gianluca,Sassuolo
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.54,83
NON_PEN_XG,0.48,82
TOTAL_SHOTS,3.56,91
ASSISTS,0.06,25
XA,0.10,37
NON_PEN_XG+XA,0.57,70
SHOT_CREATIONS,1.75,21
PASSES_ATTEMPTED,22.24,43
PASS_COMPLETION_PERCENTAGE,69.4,30
PROGRESSIVE_PASSES,1.09,24
PROGRESSIVE CARRIES,2.35,39
DRIBBLES_COMPLETED,0.96,50
TOUCHES_IN_AREA,4.70,35
PROGRESSIVE_PASSES_RECIEVED,6.93,39
PRESSURES,16.34,68
TACKLES,1.09,77
INTERCEPTIONS,0.72,88
BLOCKS,1.09,80
CLEARANCES,0.84,72
AERIAL_DUELS_WON,2.59,69
