Kyriakopoulos,Giorgos,Sassuolo
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,67
NON_PEN_XG,0.08,85
TOTAL_SHOTS,1.18,92
ASSISTS,0.06,41
XA,0.05,27
NON_PEN_XG+XA,0.14,59
SHOT_CREATIONS,1.42,36
PASSES_ATTEMPTED,63.92,85
PASS_COMPLETION_PERCENTAGE,82.0,76
PROGRESSIVE_PASSES,2.78,19
PROGRESSIVE CARRIES,7.27,92
DRIBBLES_COMPLETED,1.77,92
TOUCHES_IN_AREA,1.12,40
PROGRESSIVE_PASSES_RECIEVED,2.01,47
PRESSURES,12.60,49
TACKLES,2.37,69
INTERCEPTIONS,0.89,3
BLOCKS,1.83,49
CLEARANCES,2.84,73
AERIAL_DUELS_WON,1.18,49
